,ID,Sexo,Facultad a la que aplicó,Fue admitido
161,6f631c4e-fbfc-11eb-9a96-8c8590480788,H,A,S
162,6f631c8a-fbfc-11eb-9a96-8c8590480788,H,A,S
163,6f631d16-fbfc-11eb-9a96-8c8590480788,H,A,S
164,6f631d5c-fbfc-11eb-9a96-8c8590480788,H,A,S
165,6f631d98-fbfc-11eb-9a96-8c8590480788,H,A,S
166,6f631dc0-fbfc-11eb-9a96-8c8590480788,H,A,S
167,6f631dde-fbfc-11eb-9a96-8c8590480788,H,A,S
168,6f631dfc-fbfc-11eb-9a96-8c8590480788,H,A,S
169,6f631e24-fbfc-11eb-9a96-8c8590480788,H,A,S
170,6f631e42-fbfc-11eb-9a96-8c8590480788,H,A,S
171,6f631e6a-fbfc-11eb-9a96-8c8590480788,H,A,S
172,6f631e88-fbfc-11eb-9a96-8c8590480788,H,A,S
173,6f631ea6-fbfc-11eb-9a96-8c8590480788,H,A,S
174,6f631ece-fbfc-11eb-9a96-8c8590480788,H,A,S
175,6f631ef6-fbfc-11eb-9a96-8c8590480788,H,A,S
176,6f631f14-fbfc-11eb-9a96-8c8590480788,H,A,S
177,6f631f32-fbfc-11eb-9a96-8c8590480788,H,A,S
178,6f631f5a-fbfc-11eb-9a96-8c8590480788,H,A,S
179,6f631f78-fbfc-11eb-9a96-8c8590480788,H,A,S
180,6f631f96-fbfc-11eb-9a96-8c8590480788,H,A,S
181,6f631fbe-fbfc-11eb-9a96-8c8590480788,H,A,S
182,6f631fdc-fbfc-11eb-9a96-8c8590480788,H,A,S
183,6f632004-fbfc-11eb-9a96-8c8590480788,H,A,S
184,6f632022-fbfc-11eb-9a96-8c8590480788,H,A,S
185,6f632040-fbfc-11eb-9a96-8c8590480788,H,A,S
186,6f632068-fbfc-11eb-9a96-8c8590480788,H,A,S
187,6f632086-fbfc-11eb-9a96-8c8590480788,H,A,S
188,6f6320ae-fbfc-11eb-9a96-8c8590480788,H,A,S
189,6f6320cc-fbfc-11eb-9a96-8c8590480788,H,A,S
190,6f6320f4-fbfc-11eb-9a96-8c8590480788,H,A,S
191,6f632112-fbfc-11eb-9a96-8c8590480788,H,A,S
192,6f63213a-fbfc-11eb-9a96-8c8590480788,H,A,S
193,6f632158-fbfc-11eb-9a96-8c8590480788,H,A,S
194,6f632180-fbfc-11eb-9a96-8c8590480788,H,A,S
195,6f6321b2-fbfc-11eb-9a96-8c8590480788,H,A,S
196,6f6321f8-fbfc-11eb-9a96-8c8590480788,H,A,S
197,6f632234-fbfc-11eb-9a96-8c8590480788,H,A,S
198,6f6322b6-fbfc-11eb-9a96-8c8590480788,H,A,S
199,6f6322fc-fbfc-11eb-9a96-8c8590480788,H,A,S
200,6f632338-fbfc-11eb-9a96-8c8590480788,H,A,S
201,6f63237e-fbfc-11eb-9a96-8c8590480788,H,A,S
202,6f6323a6-fbfc-11eb-9a96-8c8590480788,H,A,S
203,6f6323ce-fbfc-11eb-9a96-8c8590480788,H,A,S
204,6f6323ec-fbfc-11eb-9a96-8c8590480788,H,A,S
205,6f63240a-fbfc-11eb-9a96-8c8590480788,H,A,S
206,6f632432-fbfc-11eb-9a96-8c8590480788,H,A,S
207,6f632450-fbfc-11eb-9a96-8c8590480788,H,A,S
208,6f63246e-fbfc-11eb-9a96-8c8590480788,H,A,S
209,6f632496-fbfc-11eb-9a96-8c8590480788,H,A,S
210,6f6324b4-fbfc-11eb-9a96-8c8590480788,H,A,S
211,6f6324d2-fbfc-11eb-9a96-8c8590480788,H,A,S
212,6f6324fa-fbfc-11eb-9a96-8c8590480788,H,A,S
213,6f632518-fbfc-11eb-9a96-8c8590480788,H,A,S
214,6f632540-fbfc-11eb-9a96-8c8590480788,H,A,S
215,6f63255e-fbfc-11eb-9a96-8c8590480788,H,A,S
216,6f63257c-fbfc-11eb-9a96-8c8590480788,H,A,S
217,6f6325a4-fbfc-11eb-9a96-8c8590480788,H,A,S
218,6f6325c2-fbfc-11eb-9a96-8c8590480788,H,A,S
219,6f6325e0-fbfc-11eb-9a96-8c8590480788,H,A,S
220,6f632608-fbfc-11eb-9a96-8c8590480788,H,A,S
221,6f632626-fbfc-11eb-9a96-8c8590480788,H,A,S
222,6f632644-fbfc-11eb-9a96-8c8590480788,H,A,S
223,6f63266c-fbfc-11eb-9a96-8c8590480788,H,A,S
224,6f6326a8-fbfc-11eb-9a96-8c8590480788,H,A,S
225,6f6326ee-fbfc-11eb-9a96-8c8590480788,H,A,S
226,6f632766-fbfc-11eb-9a96-8c8590480788,H,A,S
227,6f6327ac-fbfc-11eb-9a96-8c8590480788,H,A,S
228,6f6327de-fbfc-11eb-9a96-8c8590480788,H,A,S
229,6f632810-fbfc-11eb-9a96-8c8590480788,H,A,S
230,6f63284c-fbfc-11eb-9a96-8c8590480788,H,A,S
231,6f63287e-fbfc-11eb-9a96-8c8590480788,H,A,S
232,6f6328ba-fbfc-11eb-9a96-8c8590480788,H,A,S
233,6f6328ec-fbfc-11eb-9a96-8c8590480788,H,A,S
234,6f632932-fbfc-11eb-9a96-8c8590480788,H,A,S
235,6f63296e-fbfc-11eb-9a96-8c8590480788,H,A,S
236,6f6329aa-fbfc-11eb-9a96-8c8590480788,H,A,S
237,6f6329dc-fbfc-11eb-9a96-8c8590480788,H,A,S
238,6f632a18-fbfc-11eb-9a96-8c8590480788,H,A,S
239,6f632a4a-fbfc-11eb-9a96-8c8590480788,H,A,S
240,6f632a86-fbfc-11eb-9a96-8c8590480788,H,A,S
241,6f632acc-fbfc-11eb-9a96-8c8590480788,H,A,S
242,6f632b08-fbfc-11eb-9a96-8c8590480788,H,A,S
243,6f632b44-fbfc-11eb-9a96-8c8590480788,H,A,S
244,6f632b80-fbfc-11eb-9a96-8c8590480788,H,A,S
245,6f632bc6-fbfc-11eb-9a96-8c8590480788,H,A,S
246,6f632c02-fbfc-11eb-9a96-8c8590480788,H,A,S
247,6f632c3e-fbfc-11eb-9a96-8c8590480788,H,A,S
248,6f632c7a-fbfc-11eb-9a96-8c8590480788,H,A,S
249,6f632cb6-fbfc-11eb-9a96-8c8590480788,H,A,S
250,6f632cfc-fbfc-11eb-9a96-8c8590480788,H,A,S
251,6f632d2e-fbfc-11eb-9a96-8c8590480788,H,A,S
252,6f632d74-fbfc-11eb-9a96-8c8590480788,H,A,S
253,6f632db0-fbfc-11eb-9a96-8c8590480788,H,A,S
254,6f632dec-fbfc-11eb-9a96-8c8590480788,H,A,S
255,6f632e28-fbfc-11eb-9a96-8c8590480788,H,A,S
256,6f632e64-fbfc-11eb-9a96-8c8590480788,H,A,S
257,6f632ea0-fbfc-11eb-9a96-8c8590480788,H,A,S
258,6f632ee6-fbfc-11eb-9a96-8c8590480788,H,A,S
259,6f632f18-fbfc-11eb-9a96-8c8590480788,H,A,S
260,6f632f5e-fbfc-11eb-9a96-8c8590480788,H,A,S
261,6f632f9a-fbfc-11eb-9a96-8c8590480788,H,A,S
262,6f632fe0-fbfc-11eb-9a96-8c8590480788,H,A,S
263,6f63301c-fbfc-11eb-9a96-8c8590480788,H,A,S
264,6f633170-fbfc-11eb-9a96-8c8590480788,H,A,S
265,6f6331b6-fbfc-11eb-9a96-8c8590480788,H,A,S
266,6f6331f2-fbfc-11eb-9a96-8c8590480788,H,A,S
267,6f63322e-fbfc-11eb-9a96-8c8590480788,H,A,S
268,6f63326a-fbfc-11eb-9a96-8c8590480788,H,A,S
269,6f6332a6-fbfc-11eb-9a96-8c8590480788,H,A,S
270,6f6332ec-fbfc-11eb-9a96-8c8590480788,H,A,S
271,6f633328-fbfc-11eb-9a96-8c8590480788,H,A,S
272,6f633364-fbfc-11eb-9a96-8c8590480788,H,A,S
273,6f6333aa-fbfc-11eb-9a96-8c8590480788,H,A,S
274,6f6333f0-fbfc-11eb-9a96-8c8590480788,H,A,S
275,6f633436-fbfc-11eb-9a96-8c8590480788,H,A,S
276,6f63347c-fbfc-11eb-9a96-8c8590480788,H,A,S
277,6f6334c2-fbfc-11eb-9a96-8c8590480788,H,A,S
278,6f6334fe-fbfc-11eb-9a96-8c8590480788,H,A,S
279,6f63353a-fbfc-11eb-9a96-8c8590480788,H,A,S
280,6f633580-fbfc-11eb-9a96-8c8590480788,H,A,S
281,6f6335c6-fbfc-11eb-9a96-8c8590480788,H,A,S
282,6f63360c-fbfc-11eb-9a96-8c8590480788,H,A,S
283,6f633652-fbfc-11eb-9a96-8c8590480788,H,A,S
284,6f633698-fbfc-11eb-9a96-8c8590480788,H,A,S
285,6f6336d4-fbfc-11eb-9a96-8c8590480788,H,A,S
286,6f63371a-fbfc-11eb-9a96-8c8590480788,H,A,S
287,6f633760-fbfc-11eb-9a96-8c8590480788,H,A,S
288,6f6337a6-fbfc-11eb-9a96-8c8590480788,H,A,S
289,6f6337ec-fbfc-11eb-9a96-8c8590480788,H,A,S
290,6f633828-fbfc-11eb-9a96-8c8590480788,H,A,S
291,6f633878-fbfc-11eb-9a96-8c8590480788,H,A,S
292,6f6338b4-fbfc-11eb-9a96-8c8590480788,H,A,S
293,6f6338e6-fbfc-11eb-9a96-8c8590480788,H,A,S
294,6f633922-fbfc-11eb-9a96-8c8590480788,H,A,S
295,6f633954-fbfc-11eb-9a96-8c8590480788,H,A,S
296,6f633990-fbfc-11eb-9a96-8c8590480788,H,A,S
297,6f6339cc-fbfc-11eb-9a96-8c8590480788,H,A,S
298,6f6339fe-fbfc-11eb-9a96-8c8590480788,H,A,S
299,6f633a44-fbfc-11eb-9a96-8c8590480788,H,A,S
300,6f633a80-fbfc-11eb-9a96-8c8590480788,H,A,S
301,6f633ab2-fbfc-11eb-9a96-8c8590480788,H,A,S
302,6f633aee-fbfc-11eb-9a96-8c8590480788,H,A,S
303,6f633b20-fbfc-11eb-9a96-8c8590480788,H,A,S
304,6f633b52-fbfc-11eb-9a96-8c8590480788,H,A,S
305,6f633b8e-fbfc-11eb-9a96-8c8590480788,H,A,S
306,6f633bc0-fbfc-11eb-9a96-8c8590480788,H,A,S
307,6f633bf2-fbfc-11eb-9a96-8c8590480788,H,A,S
308,6f633c2e-fbfc-11eb-9a96-8c8590480788,H,A,S
309,6f633c60-fbfc-11eb-9a96-8c8590480788,H,A,S
310,6f633ca6-fbfc-11eb-9a96-8c8590480788,H,A,S
311,6f633ce2-fbfc-11eb-9a96-8c8590480788,H,A,S
312,6f633d28-fbfc-11eb-9a96-8c8590480788,H,A,S
313,6f633d64-fbfc-11eb-9a96-8c8590480788,H,A,S
314,6f633d96-fbfc-11eb-9a96-8c8590480788,H,A,S
315,6f633dd2-fbfc-11eb-9a96-8c8590480788,H,A,S
316,6f633e0e-fbfc-11eb-9a96-8c8590480788,H,A,S
317,6f633e40-fbfc-11eb-9a96-8c8590480788,H,A,S
318,6f633e7c-fbfc-11eb-9a96-8c8590480788,H,A,S
319,6f633eb8-fbfc-11eb-9a96-8c8590480788,H,A,S
320,6f633ef4-fbfc-11eb-9a96-8c8590480788,H,A,S
321,6f633f3a-fbfc-11eb-9a96-8c8590480788,H,A,S
322,6f633f76-fbfc-11eb-9a96-8c8590480788,H,A,S
323,6f633f9e-fbfc-11eb-9a96-8c8590480788,H,A,S
324,6f633fc6-fbfc-11eb-9a96-8c8590480788,H,A,S
325,6f633fee-fbfc-11eb-9a96-8c8590480788,H,A,S
326,6f63400c-fbfc-11eb-9a96-8c8590480788,H,A,S
327,6f63402a-fbfc-11eb-9a96-8c8590480788,H,A,S
328,6f634052-fbfc-11eb-9a96-8c8590480788,H,A,S
329,6f634070-fbfc-11eb-9a96-8c8590480788,H,A,S
330,6f634098-fbfc-11eb-9a96-8c8590480788,H,A,S
331,6f6340b6-fbfc-11eb-9a96-8c8590480788,H,A,S
332,6f6340de-fbfc-11eb-9a96-8c8590480788,H,A,S
333,6f6340fc-fbfc-11eb-9a96-8c8590480788,H,A,S
334,6f634124-fbfc-11eb-9a96-8c8590480788,H,A,S
335,6f634142-fbfc-11eb-9a96-8c8590480788,H,A,S
336,6f634160-fbfc-11eb-9a96-8c8590480788,H,A,S
337,6f634188-fbfc-11eb-9a96-8c8590480788,H,A,S
338,6f6341a6-fbfc-11eb-9a96-8c8590480788,H,A,S
339,6f6341ce-fbfc-11eb-9a96-8c8590480788,H,A,S
340,6f6341f6-fbfc-11eb-9a96-8c8590480788,H,A,S
341,6f634214-fbfc-11eb-9a96-8c8590480788,H,A,S
342,6f63423c-fbfc-11eb-9a96-8c8590480788,H,A,S
343,6f63425a-fbfc-11eb-9a96-8c8590480788,H,A,S
344,6f634278-fbfc-11eb-9a96-8c8590480788,H,A,S
345,6f6342a0-fbfc-11eb-9a96-8c8590480788,H,A,S
346,6f6342be-fbfc-11eb-9a96-8c8590480788,H,A,S
347,6f6342e6-fbfc-11eb-9a96-8c8590480788,H,A,S
348,6f634304-fbfc-11eb-9a96-8c8590480788,H,A,S
349,6f63432c-fbfc-11eb-9a96-8c8590480788,H,A,S
350,6f63434a-fbfc-11eb-9a96-8c8590480788,H,A,S
351,6f634372-fbfc-11eb-9a96-8c8590480788,H,A,S
352,6f634390-fbfc-11eb-9a96-8c8590480788,H,A,S
353,6f6343ae-fbfc-11eb-9a96-8c8590480788,H,A,S
354,6f6343d6-fbfc-11eb-9a96-8c8590480788,H,A,S
355,6f6343fe-fbfc-11eb-9a96-8c8590480788,H,A,S
356,6f634426-fbfc-11eb-9a96-8c8590480788,H,A,S
357,6f634444-fbfc-11eb-9a96-8c8590480788,H,A,S
358,6f63446c-fbfc-11eb-9a96-8c8590480788,H,A,S
359,6f634494-fbfc-11eb-9a96-8c8590480788,H,A,S
360,6f6344b2-fbfc-11eb-9a96-8c8590480788,H,A,S
361,6f6344da-fbfc-11eb-9a96-8c8590480788,H,A,S
362,6f6344f8-fbfc-11eb-9a96-8c8590480788,H,A,S
363,6f634520-fbfc-11eb-9a96-8c8590480788,H,A,S
364,6f63453e-fbfc-11eb-9a96-8c8590480788,H,A,S
365,6f634566-fbfc-11eb-9a96-8c8590480788,H,A,S
366,6f63458e-fbfc-11eb-9a96-8c8590480788,H,A,S
367,6f6345ac-fbfc-11eb-9a96-8c8590480788,H,A,S
368,6f6345ca-fbfc-11eb-9a96-8c8590480788,H,A,S
369,6f6345f2-fbfc-11eb-9a96-8c8590480788,H,A,S
370,6f634610-fbfc-11eb-9a96-8c8590480788,H,A,S
371,6f634638-fbfc-11eb-9a96-8c8590480788,H,A,S
372,6f634656-fbfc-11eb-9a96-8c8590480788,H,A,S
373,6f63467e-fbfc-11eb-9a96-8c8590480788,H,A,S
374,6f63469c-fbfc-11eb-9a96-8c8590480788,H,A,S
375,6f6346c4-fbfc-11eb-9a96-8c8590480788,H,A,S
376,6f6346e2-fbfc-11eb-9a96-8c8590480788,H,A,S
377,6f63470a-fbfc-11eb-9a96-8c8590480788,H,A,S
378,6f634728-fbfc-11eb-9a96-8c8590480788,H,A,S
379,6f634746-fbfc-11eb-9a96-8c8590480788,H,A,S
380,6f63476e-fbfc-11eb-9a96-8c8590480788,H,A,S
381,6f63478c-fbfc-11eb-9a96-8c8590480788,H,A,S
382,6f6347b4-fbfc-11eb-9a96-8c8590480788,H,A,S
383,6f6347d2-fbfc-11eb-9a96-8c8590480788,H,A,S
384,6f6347fa-fbfc-11eb-9a96-8c8590480788,H,A,S
385,6f634818-fbfc-11eb-9a96-8c8590480788,H,A,S
386,6f634840-fbfc-11eb-9a96-8c8590480788,H,A,S
387,6f63485e-fbfc-11eb-9a96-8c8590480788,H,A,S
388,6f634886-fbfc-11eb-9a96-8c8590480788,H,A,S
389,6f634cf0-fbfc-11eb-9a96-8c8590480788,H,A,S
390,6f634d2c-fbfc-11eb-9a96-8c8590480788,H,A,S
391,6f634d54-fbfc-11eb-9a96-8c8590480788,H,A,S
392,6f634d72-fbfc-11eb-9a96-8c8590480788,H,A,S
393,6f634d9a-fbfc-11eb-9a96-8c8590480788,H,A,S
394,6f634db8-fbfc-11eb-9a96-8c8590480788,H,A,S
395,6f634de0-fbfc-11eb-9a96-8c8590480788,H,A,S
396,6f634dfe-fbfc-11eb-9a96-8c8590480788,H,A,S
397,6f634e1c-fbfc-11eb-9a96-8c8590480788,H,A,S
398,6f634e44-fbfc-11eb-9a96-8c8590480788,H,A,S
399,6f634e62-fbfc-11eb-9a96-8c8590480788,H,A,S
400,6f634e8a-fbfc-11eb-9a96-8c8590480788,H,A,S
401,6f634ea8-fbfc-11eb-9a96-8c8590480788,H,A,S
402,6f634ed0-fbfc-11eb-9a96-8c8590480788,H,A,S
403,6f634eee-fbfc-11eb-9a96-8c8590480788,H,A,S
404,6f634f0c-fbfc-11eb-9a96-8c8590480788,H,A,S
405,6f634f34-fbfc-11eb-9a96-8c8590480788,H,A,S
406,6f634f5c-fbfc-11eb-9a96-8c8590480788,H,A,S
